Time (weeks),40412,40413,40443,40444
-2,,,,
-1,,,,
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,2399,1852
8,2921,2559,,
9,,,1480,1792
10,1880,1726,,
11,,,1621,1341
12,1713,1522,,
13,,,2017,1661
14,1264,1805,,
15,,,698,1198
16,,1612,,
17,,,,868
18,,,,
19,,,,1109
20,,,,
21,,,,
22,,,,
