6.1773	6.1773
6.1901	6.1901
6.2063	6.2063
6.0502	6.0502
6.1241	6.1241
6.0786	6.0786
6.0331	6.0331
6.2632	6.2632
6.0908	6.0908
6.1938	6.1938
6.0139	6.0139
6.1353	6.1353
6.3212	6.3212
6.2639	6.2639
6.0494	6.0494
6.3349	6.3349
5.942	5.942
6.2384	6.2384
6.1241	6.1241
6.0472	6.0472
6.1826	6.1826
6.0037	6.0037
6.1781	6.1781
6.1898	6.1898
6.2561	6.2561
6.1776	6.1776
5.9494	5.9494
6.0982	6.0982
6.0694	6.0694
6.1223	6.1223
6.1182	6.1182
6.2714	6.2714
6.1239	6.1239
6.1329	6.1329
6.2645	6.2645
6.1777	6.1777
6.0082	6.0082
6.2332	6.2332
5.9691	5.9691
6.0197	6.0197
5.9759	5.9759
6.1954	6.1954
6.0205	6.0205
6.1228	6.1228
6.1344	6.1344
6.0769	6.0769
6.295	6.295
6.1794	6.1794
6.3137	6.3137
5.9689	5.9689
5.9064	5.9064
6.0272	6.0272
6.2711	6.2711
6.1347	6.1347
6.042	6.042
6.1209	6.1209
6.1088	6.1088
6.2181	6.2181
6.3612	6.3612
5.9512	5.9512
6.1251	6.1251
6.1755	6.1755
6.2941	6.2941
6.0515	6.0515
6.1535	6.1535
6.2743	6.2743
6.2205	6.2205
6.0688	6.0688
5.9152	5.9152
6.1718	6.1718
5.9966	5.9966
6.0298	6.0298
6.1785	6.1785
6.223	6.223
6.0466	6.0466
6.1195	6.1195
5.9651	5.9651
6.2283	6.2283
6.0703	6.0703
6.1142	6.1142
6.3557	6.3557
6.2499	6.2499
6.0641	6.0641
5.9125	5.9125
6.1718	6.1718
6.1958	6.1958
6.4548	6.4548
6.337	6.337
6.446	6.446
6.3429	6.3429
6.3534	6.3534
5.8382	5.8382
6.0029	6.0029
6.2147	6.2147
6.2718	6.2718
6.0055	6.0055
5.9287	5.9287
6.0447	6.0447
6.1237	6.1237
6.0919	6.0919
