5.2771	4.4819	5.2012
5.288	4.4835	5.214
5.3228	4.6221	5.2263
5.2591	4.4485	5.1862
5.255	4.4386	5.1831
5.258	4.4445	5.1856
5.2941	4.5591	5.2057
5.254	4.4234	5.1846
5.3546	4.6342	5.2629
5.3389	4.6085	5.2495
5.3079	4.4782	5.2383
5.2855	4.4595	5.2153
5.3273	4.6109	5.2347
5.2609	4.4358	5.1906
5.2744	4.404	5.2115
5.331	4.5073	5.2604
5.2761	4.4354	5.2084
5.2981	4.4991	5.223
5.35	4.5507	5.2749
5.2876	4.5137	5.2076
5.2138	4.5074	5.1187
5.3236	4.5636	5.2407
5.3187	4.6733	5.2073
5.2289	4.548	5.1274
5.2308	4.479	5.1462
5.303	4.5524	5.2181
5.3431	4.5488	5.267
5.3213	4.5619	5.2382
5.2398	4.3789	5.1755
5.2115	4.5427	5.1067
5.418	4.66	5.3346
5.3018	4.6453	5.1936
5.2284	4.4997	5.1386
5.3572	4.5905	5.2757
5.4122	4.7244	5.3124
5.3234	4.5266	5.2479
5.278	4.6102	5.1729
5.3076	4.6418	5.202
5.2237	4.5181	5.1284
5.2843	4.5026	5.2059
5.3396	4.496	5.2724
5.2993	4.5744	5.2087
5.2382	4.5219	5.1455
5.3755	4.6527	5.2844
5.2449	4.478	5.1634
5.3291	4.6552	5.2257
5.2423	4.4186	5.1716
5.2102	4.5309	5.1082
5.303	4.6386	5.197
5.3251	4.6159	5.2307
5.3137	4.5722	5.2267
5.3616	4.5363	5.2912
5.2581	4.6586	5.1323
5.4332	4.6467	5.3556
5.2496	4.4382	5.1768
5.3289	4.4839	5.2619
5.3125	4.5532	5.2294
5.2904	4.4659	5.2199
5.329	4.4836	5.2621
5.3184	4.6134	5.223
5.3561	4.706	5.246
5.2406	4.477	5.1585
5.2596	4.6402	5.1403
5.3025	4.503	5.2274
5.1693	4.5084	5.0623
5.3109	4.608	5.215
5.3851	4.6642	5.2934
5.3034	4.4991	5.2293
5.2518	4.4797	5.1713
5.2844	4.5279	5.2008
5.2685	4.4747	5.1924
5.2053	4.5528	5.096
5.2735	4.6205	5.1643
5.2746	4.5319	5.1879
5.3172	4.5564	5.2344
5.3337	4.5898	5.2474
5.3539	4.5285	5.2835
5.2343	4.6055	5.1179
5.3017	4.4685	5.2327
5.2664	4.4871	5.1875
5.2166	4.3968	5.1453
5.2942	4.4454	5.2279
5.2158	4.3823	5.1469
5.2297	4.4034	5.1596
5.316	4.6073	5.2215
5.1986	4.3052	5.1392
5.2664	4.4357	5.197
5.2014	4.5078	5.1031
5.3241	4.7002	5.2061
5.2971	4.6554	5.1846
5.2928	4.5332	5.2099
5.378	4.7163	5.2713
5.3472	4.4984	5.2809
5.359	4.6065	5.2745
5.3345	4.7012	5.2195
5.302	4.4413	5.2376
5.3269	4.4596	5.2636
5.1217	4.5233	4.9956
5.3794	4.7105	5.2747
5.2072	4.2963	5.1503
